Text,Person Type,Sleep Amount(hours),Drink Type,Mental Health,Source
Reviewing evidence until midnight is exhausting.,Lawyer,6,Green Tea,Restless,Survey
Syllabus planning leaves me mentally tired.,Teacher,7,Herbal Tea,Overwhelmed,Interview
Technical meetings all day are mentally exhausting.,Engineer,8,Green Tea,Overwhelmed,Forum
Balancing assignments and social life stresses me.,Student,8,Coffee,Nervous,Social Media
Double shifts back-to-back leave me drained.,Nurse,3,Energy Drink,Nervous,Blog
Client indecisiveness makes revisions never-ending.,Designer,5,Milk Tea,Tired,Blog
Surgical emergencies make me anxious.,Doctor,8,Coffee,Nervous,Social Media
Constant data verification is mentally tiring.,Accountant,6,Energy Drink,Stressed,Blog
Night patrols disturb my sleep routine.,Police Officer,5,Milk Tea,Tired,Forum
Frequent virtual meetings leave me drained.,Software Developer,7,Energy Drink,Nervous,Interview
Back-to-back calls make me feel mentally fatigued.,Customer Support Agent,8,Black Tea,Overwhelmed,Survey
Long hours in a hot kitchen leave me tired.,Chef,3,Herbal Tea,Tired,Blog
Legal formalities keep me mentally occupied all day.,Lawyer,6,Energy Drink,Anxious,Forum
Conducting back-to-back lectures wears me out.,Teacher,4,Energy Drink,Stressed,Blog
System outages at night disrupt my sleep.,Engineer,3,Black Tea,Tired,Survey
Too many exams close together make me anxious.,Student,8,Milk Tea,Tired,Survey
Double shifts back-to-back leave me drained.,Nurse,4,No Drink,Stressed,Forum
Client indecisiveness makes revisions never-ending.,Designer,4,Milk Tea,Overwhelmed,Survey
On-call duty during weekends affects my rest.,Doctor,6,Black Tea,Overwhelmed,Social Media
Month-end closings keep me up all night.,Accountant,4,Black Tea,Anxious,Survey
Responding to calls at odd hours makes me anxious.,Police Officer,6,Milk Tea,Nervous,Blog
Code reviews and feature deadlines stress me.,Software Developer,3,Energy Drink,Overwhelmed,Forum
Handling angry clients all day is exhausting.,Customer Support Agent,6,Black Tea,Overwhelmed,Blog
Late closing duties reduce my sleep time.,Chef,3,Milk Tea,Tired,Survey
Back-to-back hearings give me anxiety.,Lawyer,4,Black Tea,Nervous,Survey
Unruly students make classroom management stressful.,Teacher,6,Black Tea,Nervous,Social Media
Technical meetings all day are mentally exhausting.,Engineer,4,Black Tea,Anxious,Interview
Too many exams close together make me anxious.,Student,7,Herbal Tea,Overwhelmed,Social Media
Double shifts back-to-back leave me drained.,Nurse,8,Energy Drink,Nervous,Blog
Client indecisiveness makes revisions never-ending.,Designer,6,Energy Drink,Overwhelmed,Interview
Surgical emergencies make me anxious.,Doctor,3,Energy Drink,Anxious,Blog
Constant data verification is mentally tiring.,Accountant,7,No Drink,Overwhelmed,Blog
Dealing with violent crimes affects my mental state.,Police Officer,3,Herbal Tea,Restless,Forum
Frequent virtual meetings leave me drained.,Software Developer,4,Green Tea,Restless,Interview
Back-to-back calls make me feel mentally fatigued.,Customer Support Agent,5,Milk Tea,Overwhelmed,Blog
Managing kitchen staff during rush hours stresses me.,Chef,7,Herbal Tea,Restless,Social Media
Back-to-back hearings give me anxiety.,Lawyer,4,Green Tea,Tired,Forum
